May_19_2015,JPPOWER,false
May_18_2015,JPPOWER,true
May_15_2015,JPPOWER,true
May_14_2015,JPPOWER,true
May_13_2015,JPPOWER,true
May_12_2015,JPPOWER,true
May_11_2015,JPPOWER,true
May_8_2015,JPPOWER,false
May_7_2015,JPPOWER,true
May_6_2015,JPPOWER,true
May_5_2015,JPPOWER,true
May_4_2015,JPPOWER,true
Apr_30_2015,JPPOWER,true
Apr_29_2015,JPPOWER,true
Apr_28_2015,JPPOWER,true
Apr_27_2015,JPPOWER,true
Apr_24_2015,JPPOWER,true
Apr_23_2015,JPPOWER,true
Apr_22_2015,JPPOWER,true
Apr_21_2015,JPPOWER,false
Apr_20_2015,JPPOWER,false
Apr_17_2015,JPPOWER,false
Apr_16_2015,JPPOWER,false
Apr_15_2015,JPPOWER,true
Apr_13_2015,JPPOWER,false
Apr_10_2015,JPPOWER,true
Apr_9_2015,JPPOWER,true
Apr_8_2015,JPPOWER,true
Apr_7_2015,JPPOWER,true
Apr_6_2015,JPPOWER,true
Apr_1_2015,JPPOWER,true
Mar_31_2015,JPPOWER,true
Mar_30_2015,JPPOWER,true
Mar_27_2015,JPPOWER,false
